"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p"
"(Intercept)",3.32,0.14,3.06,3.59,"","",""
"owner_presencep",0.33,0.08,0.17,0.49,"14.55","1","<0.001"
"stranger_presencep",0.16,0.05,0.06,0.27,"9.62","1","0.002"
"z.cBARQ_separation_problems",0.09,0.08,-0.07,0.25,"1.44","1","0.23"
"z.trial",-0.22,0.03,-0.28,-0.17,"40.41","1","<0.001"
"sexM",-0.07,0.16,-0.41,0.25,"0.21","1","0.645"
"z.age",-0.1,0.08,-0.26,0.06,"1.71","1","0.191"
