"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p"
"(Intercept)","-0.37","0.11","-0.61","-0.14","   NA",NA,"   NA"
"owner_presencep"," 0.25","0.13","-0.01"," 0.50","   NA",NA,"   NA"
"stranger_presencep"," 0.12","0.06","-0.01"," 0.25","   NA",NA,"   NA"
"z.trial"," 0.06","0.04","-0.02"," 0.14"," 2.02",1,"0.155"
"z.age"," 0.04","0.06","-0.08"," 0.14"," 0.43",1,"0.512"
"sexM"," 0.38","0.12"," 0.16"," 0.59"," 8.84",1,"0.003"
"owner_presencep:stranger_presencep","-0.15","0.05","-0.27","-0.04","10.14",1,"0.001"
