,Estimate,SE,LowerCI,UpperCI,Chi2,df,p
(Intercept),0.3,0.12,0.07,0.55,,,
owner_presencep,-0.07,0.13,-0.37,0.2,,,
stranger_presencep,-0.11,0.1,-0.31,0.08,,,
z.trial,-0.07,0.06,-0.2,0.05,1.47,1,0.225
z.age,-0.08,0.05,-0.18,0.03,2.14,1,0.143
sexM,0.11,0.1,-0.1,0.31,1.18,1,0.278
owner_presencep:stranger_presencep,-0.16,0.06,-0.35,0.04,6.22,1,0.013
