"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p"
"(Intercept)","-1.25","0.14","-1.55","-0.97","  NA",NA,"   NA"
"owner_presencep"," 0.26","0.12"," 0.02"," 0.53","  NA",NA,"   NA"
"stranger_presencep"," 0.50","0.11"," 0.28"," 0.73","  NA",NA,"   NA"
"z.trial"," 0.05","0.04","-0.04"," 0.12","1.48",1,"0.224"
"z.age","-0.03","0.07","-0.19"," 0.11","0.16",1,"0.687"
"sexM"," 0.13","0.14","-0.18"," 0.41","0.77",1,"0.379"
"owner_presencep:stranger_presencep","-0.36","0.14","-0.68","-0.05","6.03",1,"0.014"
