,Estimate,SE,LowerCI,UpperCI,Chi2,df,p
(Intercept),-1.56,0.17,-1.91,-1.26,,,
owner_presencep,0.58,0.11,0.35,0.84,18.91,1,<0.001
stranger_presencep,0.22,0.07,0.07,0.38,8.97,1,0.003
z.trial,-0.5,0.05,-0.61,-0.4,53.17,1,<0.001
z.age,-0.08,0.11,-0.3,0.12,0.52,1,0.469
sexM,-0.35,0.21,-0.75,0.08,2.51,1,0.113
