,Estimate,SE,LowerCI,UpperCI,Chi2,df,p
(Intercept),-2.53,0.23,-2.94,-2.19,,,
owner_presencep,1.26,0.19,0.94,1.62,42.97,1,<0.001
stranger_presencep,-0.08,0.16,-0.4,0.24,0.24,1,0.625
z.trial,0.1,0.08,-0.06,0.28,1.57,1,0.21
z.age,0.04,0.09,-0.14,0.23,0.24,1,0.624
sexM,0.24,0.19,-0.12,0.62,1.71,1,0.191
