"","name","mean(prop_tracked_data)","median(prop_tracked_data)","min(prop_tracked_data)","max(prop_tracked_data)","mean(median_err)"
"1","atlas",0.91323258435031,0.945254039326358,0.457470102745494,0.999080882352941,12.254812735482
"2","head_centre",0.818810266967573,0.86470283670434,0.0606334841628959,0.999080882352941,9.78056939297636
"3","hips",0.944252744057535,0.988464829193237,0.201530612244898,0.999165507649513,12.9726238733399
"4","left_ear",0.86222360495029,0.90562965253988,0.314127039222492,0.999080882352941,10.9717736853811
"5","right_ear",0.893300836182954,0.928649221052967,0.448543035202964,0.999080882352941,10.363697524213
"6","snout",0.73062570136002,0.755117283679543,0.155492730210016,0.999080882352941,10.8708800968737
"7","tail_base",0.908613981142899,0.964136274915545,0.324004305705059,0.998974358974359,12.8836596250857
"8","tail_tip",0.896801909381204,0.943960714265391,0.36214953271028,0.999080882352941,12.5234848294777
