,Estimate,SE,LowerCI,UpperCI,Chi2,df,p
(Intercept),0.21,0.23,-0.26,0.65,,,
owner_presencep,-1.79,0.22,-2.2,-1.41,59.85,1,<0.001
stranger_presencep,-0.43,0.17,-0.77,-0.08,6.04,1,0.014
z.trial,-0.06,0.09,-0.22,0.1,0.43,1,0.514
z.age,-0.3,0.14,-0.59,0,4.23,1,0.04
sexM,-0.02,0.28,-0.55,0.57,0.01,1,0.941
