"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p"
"(Intercept)",3.28,0.13,3.02,3.55,"","",""
"owner_presencep",0.36,0.09,0.19,0.53,"14.22","1","<0.001"
"stranger_presencep",0.19,0.06,0.08,0.32,"10.7","1","0.001"
"z.trial",-0.25,0.03,-0.31,-0.19,"60.13","1","<0.001"
"sexM",-0.06,0.15,-0.34,0.28,"0.14","1","0.706"
"z.age",-0.09,0.08,-0.25,0.07,"1.28","1","0.259"
