"","condition","mean(prop_tracked_data)","min(prop_tracked_data)","max(prop_tracked_data)","mean(median_err)"
"1","bp",0.88424203233331,0.471750433275563,0.998986828774063,11.852276846724
"2","np",0.857414846016218,0.0606334841628959,0.999081163859112,10.5971978035377
"3","op",0.854906699697798,0.314675278076785,0.998974358974359,11.9197399865051
"4","sp",0.862931126866441,0.152261712439418,0.999004314636575,11.9223801820155
