"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p"
"(Intercept)","-3.63","0.32","-4.58","-3.18","  NA",NA,"   NA"
"owner_presencep"," 2.81","0.32"," 2.29"," 3.67","  NA",NA,"   NA"
"stranger_presencep","-0.26","0.27","-0.92"," 0.32","  NA",NA,"   NA"
"z.trial"," 0.21","0.13","-0.05"," 0.50","2.65",1,"0.104"
"z.age"," 0.09","0.17","-0.27"," 0.49","0.29",1,"0.588"
"sexM","-0.08","0.33","-0.80"," 0.66","0.05",1,"0.819"
"owner_presencep:stranger_presencep","-0.50","0.22","-1.08"," 0.07","5.04",1,"0.025"
