"","subject","name","condition","owner_chair","stranger_chair","distance.sum","max.frame.count","tracked_data_count","prop_tracked_data","median_err","mean.distance.chair.door","mean.distance.chair.window","min.distance.chair.door","min.distance.chair.window","min.distance.obj.dr","min.distance.obj.dl","min.distance.obj.wr","min.distance.obj.wl","prop_chair_door","prop_chair_window","prop_door_l","prop_door_r","area_covered","prop_look_chair_door","mean_angle_chair_door","min_angle_chair_door","prop_look_chair_window","mean_angle_chair_window","min_angle_chair_window","tail_angle_mean","tail_angle_median","tail_angle_prop_tracked","min_distance_owner_chair","mean_distance_owner_chair","prop_look_owner_chair","prop_look_stranger_chair","mean_vis_angle_stranger","mean_vis_angle_owner","min_vis_angle_stranger","min_vis_angle_owner","prop_duration_owner","prop_duration_stranger","prop_duration_door"
"1000","moon","head_centre","sp","door","window",11.7787435007613,2909,2897,0.995874871089722,5.85131037465057,2.01374145024026,3.58462028131981,1.2686918938925,2.23034648572396,0.323421057532657,1.40750747511018,1.03557439896184,1.38768366728756,0.00240880935994494,0,0,0.0368203716448727,0.0666666666666667,0.434273916035788,0.69346222292497,0.0245771144841784,0.012388162422574,2.26519349374675,0.165787087805786,-77.7039274472388,-113.078798826709,0.980041293874742,1.2686918938925,2.01374145024026,0.434273916035788,0.012388162422574,2.26519349374675,0.69346222292497,0.165787087805786,0.0245771144841784,0.00240880935994494,0,0.0368203716448727
"1001","moon","hips","bp","door","window",78.8010427029512,2877,2806,0.975321515467501,10.3566220045703,2.83871494999089,3.40092939220053,0.532276280405571,0.780318294280989,0.531945793759357,0.520502111643743,0.569571909433075,0.544993179614371,0.162839248434238,0.13500347947112,0.0132219902574809,0.0403618649965205,NA,0.114126652748782,1.64525796702991,0.0102934510690487,0.157967988865692,1.53799732318267,0.0165220797366876,40.6103528267026,110.253002595933,0.814544189283229,0.532276280405571,2.83871494999089,0.114126652748782,0.157967988865692,1.53799732318267,1.64525796702991,0.0165220797366876,0.0102934510690487,0.162839248434238,0.13500347947112,0.0535838552540014
"1002","moon","hips","np","door","window",22.8806571995956,2883,2880,0.998959417273673,17.3817329989026,3.55699308582346,2.20580393496542,1.34438980492845,0.477185559769661,0.630948956106088,1.33983614244885,0.581977896215696,0.629103987176421,0.00555555555555556,0.449652777777778,0,0.0135416666666667,NA,0.142361111111111,0.961652486382675,0.0281844652835095,0.0152777777777778,2.50044120445787,0.12824478326429,85.2249581889316,116.684621465123,0.552083333333333,1.34438980492845,3.55699308582346,0.142361111111111,0.0152777777777778,2.50044120445787,0.961652486382675,0.12824478326429,0.0281844652835095,0.00555555555555556,0.449652777777778,0.0135416666666667
"1003","moon","hips","op","door","window",48.9499750808886,2356,2313,0.981748726655348,12.4370416520075,2.67839906257015,3.59733049718795,0.692134027420058,0.544055222964657,0.661879203939127,0.524662711778764,0.529872812839738,0.566692671810576,0.143221419464513,0.186995325116872,0.192520186995325,0.00382490437739057,NA,0.111758281761922,1.48269429283639,0.0178895397768928,0.121223152530033,1.59480036973175,0.0176101561085771,49.2825661807257,111.304457851936,0.598107025846378,0.692134027420058,2.67839906257015,0.111758281761922,0.121223152530033,1.59480036973175,1.48269429283639,0.0176101561085771,0.0178895397768928,0.143221419464513,0.186995325116872,0.196345091372716
"1004","moon","hips","sp","door","window",15.0055578770917,2909,2902,0.997593674802338,11.9702986820939,2.39507814894418,3.29055626782131,1.36441600187496,2.23710998673405,0.483622433390457,1.362522158899,1.19604396247359,0.947742419201553,0.00275292498279422,0,0,0.0388850653819683,NA,0.434273916035788,0.69346222292497,0.0245771144841784,0.012388162422574,2.26519349374675,0.165787087805786,-77.7039274472388,-113.078798826709,0.980041293874742,1.36441600187496,2.39507814894418,0.434273916035788,0.012388162422574,2.26519349374675,0.69346222292497,0.165787087805786,0.0245771144841784,0.00275292498279422,0,0.0388850653819683
"1005","moon","left_ear","bp","door","window",101.223512291745,2877,2445,0.849843587069864,12.7295399710706,2.84932235086679,3.32026021958407,0.333032006345447,0.359586742253308,0.249821627663801,0.217880753239851,0.272289085276546,0.21788459307125,0.169450243562978,0.143702157272095,0.0107863604732081,0.0365344467640919,NA,0.114126652748782,1.64525796702991,0.0102934510690487,0.157967988865692,1.53799732318267,0.0165220797366876,40.6103528267026,110.253002595933,0.814544189283229,0.333032006345447,2.84932235086679,0.114126652748782,0.157967988865692,1.53799732318267,1.64525796702991,0.0165220797366876,0.0102934510690487,0.169450243562978,0.143702157272095,0.0473208072372999
"1006","moon","left_ear","np","door","window",25.502842817271,2883,2804,0.972597988206729,6.84482296020646,3.39672552776657,2.39343147335592,1.24162932168466,0.468845965950613,0.359276950960934,1.22770700138526,0.356228686736327,0.43462264536934,0.00138888888888889,0.446875,0,0.0263888888888889,NA,0.142361111111111,0.961652486382675,0.0281844652835095,0.0152777777777778,2.50044120445787,0.12824478326429,85.2249581889316,116.684621465123,0.552083333333333,1.24162932168466,3.39672552776657,0.142361111111111,0.0152777777777778,2.50044120445787,0.961652486382675,0.12824478326429,0.0281844652835095,0.00138888888888889,0.446875,0.0263888888888889
"1007","moon","left_ear","op","door","window",64.1544776148571,2323,1906,0.820490744726647,10.4463840283523,2.66493035638755,3.50897758843602,0.359301568924881,0.248094437792296,0.654024922724629,0.380721370193149,0.451127870457803,0.218530836149701,0.226293103448276,0.198706896551724,0.180603448275862,0.00474137931034483,NA,0.111758281761922,1.48269429283639,0.0178895397768928,0.121223152530033,1.59480036973175,0.0176101561085771,49.2825661807257,111.304457851936,0.598107025846378,0.359301568924881,2.66493035638755,0.111758281761922,0.121223152530033,1.59480036973175,1.48269429283639,0.0176101561085771,0.0178895397768928,0.226293103448276,0.198706896551724,0.185344827586207
"1008","moon","left_ear","sp","door","window",12.2584999920943,2909,2901,0.997249914059814,4.69551756496284,2.04571502087126,3.57349329643337,1.2587063199903,2.21670337848047,0.321708893533831,1.43821612825728,1.06781890384034,1.35112619472588,0.00206469373709566,0,0,0.0368203716448727,NA,0.434273916035788,0.69346222292497,0.0245771144841784,0.012388162422574,2.26519349374675,0.165787087805786,-77.7039274472388,-113.078798826709,0.980041293874742,1.2587063199903,2.04571502087126,0.434273916035788,0.012388162422574,2.26519349374675,0.69346222292497,0.165787087805786,0.0245771144841784,0.00206469373709566,0,0.0368203716448727
"1009","moon","right_ear","bp","door","window",95.1969032133185,2877,2546,0.884949600278067,12.5106986745536,2.83306932399159,3.31094049375689,0.377325371823655,0.394871953335549,0.246595177449731,0.196201658521974,0.280048587985111,0.217090601764026,0.1687543493389,0.144050104384134,0.0132219902574809,0.0403618649965205,NA,0.114126652748782,1.64525796702991,0.0102934510690487,0.157967988865692,1.53799732318267,0.0165220797366876,40.6103528267026,110.253002595933,0.814544189283229,0.377325371823655,2.83306932399159,0.114126652748782,0.157967988865692,1.53799732318267,1.64525796702991,0.0165220797366876,0.0102934510690487,0.1687543493389,0.144050104384134,0.0535838552540014
