dog_ID,dog_name,survey_ID,survey_token,date_of_birth,test_date,test_time,sex,stranger_name,object_combination,trial_number,condition_id,owner_presence,stranger_presence,owner_chair,stranger_chair,head_centre-snout,ear-ear,ear-head_centre
11,Fiona,10,9,3.3.2012.,1.9.2020.,12,F,Damjan,13-12-4-3,4,pp,p,p,door,window,19,12,9
13,Luna26,14,13,27.7.2018.,11.9.2020.,17,F,Blaz,8-9-13-3,1,ap,a,p,window,door,17,11,7
13,Luna26,14,13,27.7.2018.,11.9.2020.,17,F,Blaz,10-2-11-14,2,pa,p,a,window,door,17,11,7
13,Luna26,14,13,27.7.2018.,11.9.2020.,17,F,Blaz,7-12-4-5,3,pp,p,p,window,door,17,11,7
13,Luna26,14,13,27.7.2018.,11.9.2020.,17,F,Blaz,16-1-6-15,4,aa,a,a,window,door,17,11,7
14,Ookami,15,14,21.4.2016.,8.9.2020.,13,M,Ana,10-13-16-7,1,ap,a,p,window,door,20,16,10
14,Ookami,15,14,21.4.2016.,8.9.2020.,13,M,Ana,2-4-12-3,2,pa,p,a,window,door,20,16,10
14,Ookami,15,14,21.4.2016.,8.9.2020.,13,M,Ana,5-14-15-9,3,aa,a,a,window,door,20,16,10
14,Ookami,15,14,21.4.2016.,8.9.2020.,13,M,Ana,6-1-11-8,4,pp,p,p,window,door,20,16,10
15,Finch,16,15,23.8.2010.,11.9.2020.,16,M,Blaz,4-3-7-11,1,ap,a,p,door,window,18,13,9
15,Finch,16,15,23.8.2010.,11.9.2020.,16,M,Blaz,12-13-5-1,2,aa,a,a,door,window,18,13,9
15,Finch,16,15,23.8.2010.,11.9.2020.,16,M,Blaz,15-14-9-16,3,pp,p,p,door,window,18,13,9
15,Finch,16,15,23.8.2010.,11.9.2020.,16,M,Blaz,8-10-6-2,4,pa,p,a,door,window,18,13,9
16,Dawn,17,16,7.4.2012.,10.9.2020.,18,F,Ana,8-1-10-15,1,ap,a,p,window,door,15,12,8
16,Dawn,17,16,7.4.2012.,10.9.2020.,18,F,Ana,14-4-12-16,2,aa,a,a,window,door,15,12,8
16,Dawn,17,16,7.4.2012.,10.9.2020.,18,F,Ana,11-6-3-2,3,pa,p,a,window,door,15,12,8
16,Dawn,17,16,7.4.2012.,10.9.2020.,18,F,Ana,9-7-13-5,4,pp,p,p,window,door,15,12,8
17,Kate3,18,17,2.11.2018.,10.9.2020.,18,F,Ana,13-11-1-15,1,ap,a,p,door,window,20,16,10
17,Kate3,18,17,2.11.2018.,10.9.2020.,18,F,Ana,16-7-12-4,2,pp,p,p,door,window,20,16,10
17,Kate3,18,17,2.11.2018.,10.9.2020.,18,F,Ana,2-8-5-9,3,aa,a,a,door,window,20,16,10
17,Kate3,18,17,2.11.2018.,10.9.2020.,18,F,Ana,6-14-10-3,4,pa,p,a,door,window,20,16,10
18,Bambi2,19,18,27.3.2012.,10.9.2020.,18,F,Ana,9-5-3-6,1,ap,a,p,window,door,11,10,6
