id,submitdate,lastpage,startlanguage,token,startdate,datestamp,Three36,Three37,Three38,Three39,Three40,Three41,Three42,Three43,Three44,Three45,Three46,Three47,Three48,Three49,Three50,Three51,Three52,Three53,Four54,Four55,Four56,Four57,Four58,Four59,Four60,Four61,Six68,Six69,Six70,Six71,Six72,Six73
30,13/09/2020 10:38,3,de,30,13/09/2020 10:32,13/09/2020 10:38,0,0,3,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,1,0,0,2,2,1,2,0,1
31,13/09/2020 16:54,3,de,37,13/09/2020 16:41,13/09/2020 16:54,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0
32,13/09/2020 17:10,3,de,38,13/09/2020 16:55,13/09/2020 17:10,0,0,3,0,2,0,0,NA,1,0,0,NA,0,NA,4,0,0,0,4,0,4,4,0,1,0,0,3,4,3,3,2,3
33,13/09/2020 19:07,3,de,33,13/09/2020 18:58,13/09/2020 19:07,0,NA,2,0,0,0,1,2,3,3,0,1,0,1,3,0,NA,0,0,0,2,0,2,0,0,0,4,3,3,3,0,3
34,13/09/2020 19:14,3,de,36,13/09/2020 19:08,13/09/2020 19:14,0,NA,3,0,0,0,2,3,3,2,1,1,1,3,2,0,NA,2,0,0,2,0,0,0,2,0,4,2,3,3,0,2
35,14/09/2020 08:49,3,de,20,14/09/2020 08:38,14/09/2020 08:49,3,1,0,3,4,0,0,4,0,0,0,3,4,NA,1,0,0,0,0,0,0,0,0,0,1,0,2,1,3,3,1,1
36,,0,de,21,14/09/2020 08:50,14/09/2020 08:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,14/09/2020 10:06,3,de,21,14/09/2020 09:42,14/09/2020 10:06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,3,0,2
38,14/09/2020 10:12,3,de,22,14/09/2020 10:07,14/09/2020 10:12,0,0,3,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,0,2
39,14/09/2020 12:55,3,de,25,14/09/2020 12:51,14/09/2020 12:55,1,1,2,1,1,2,2,0,2,2,1,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,3,2,4,3,2,2
40,14/09/2020 12:57,3,de,26,14/09/2020 12:55,14/09/2020 12:57,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,1,3,1
41,14/09/2020 18:57,3,de,24,14/09/2020 18:51,14/09/2020 18:57,0,0,0,0,1,0,0,1,1,1,0,0,0,NA,2,0,1,1,0,0,0,1,1,1,0,0,4,3,2,2,1,0
42,15/09/2020 09:59,3,de,34,15/09/2020 09:55,15/09/2020 09:59,1,1,3,0,1,1,2,1,0,2,1,1,1,4,2,0,1,3,0,1,3,1,0,2,0,1,4,3,2,2,1,2
43,15/09/2020 22:06,3,de,35,15/09/2020 22:01,15/09/2020 22:06,0,0,2,0,0,1,2,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,3,2,2
44,22/09/2020 09:22,3,de,39,22/09/2020 09:15,22/09/2020 09:22,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,1
45,22/09/2020 09:27,3,de,40,22/09/2020 09:24,22/09/2020 09:27,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,0,0
46,23/09/2020 14:46,3,de,41,23/09/2020 14:17,23/09/2020 14:46,0,0,1,1,1,2,1,1,3,1,0,0,0,0,0,0,2,1,0,2,3,2,1,0,0,1,4,0,2,1,2,3
